#,Category,Term,Slug,Current Default Source(s),Your Verified Source URL,Your Notes
11,Estate & Probate,Notary Public vs Lawyer,notary-public-vs-lawyer,"Wills, Estates and Succession Act (SBC 2009, c. 13) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/09013_01 | BC Government — Wills, Estates and Probate — https://www2.gov.bc.ca/gov/content/life-events/death/wills-estates | Land Title Act (RSBC 1996, c. 250) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96250_00",,
12,Estate & Probate,Probate Sale,probate-sale,"Wills, Estates and Succession Act (SBC 2009, c. 13) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/09013_01 | BC Government — Wills, Estates and Probate — https://www2.gov.bc.ca/gov/content/life-events/death/wills-estates",,
13,Estate & Probate,Transmission Application,transmission-application,"Wills, Estates and Succession Act (SBC 2009, c. 13) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/09013_01 | BC Government — Wills, Estates and Probate — https://www2.gov.bc.ca/gov/content/life-events/death/wills-estates | Land Title Act (RSBC 1996, c. 250) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96250_00",,
14,Estate & Probate,Wills Notice Search,wills-notice-search,"Wills, Estates and Succession Act (SBC 2009, c. 13) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/09013_01 | BC Government — Wills, Estates and Probate — https://www2.gov.bc.ca/gov/content/life-events/death/wills-estates | Land Title Act (RSBC 1996, c. 250) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96250_00",,
15,Financing,30-Year Amortization (Insured Mortgages),30-year-amortization-insured-mortgages,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
16,Financing,Additional Payment Privilege,additional-payment-privilege,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
17,Financing,Adjustable Rate Mortgage (ARM),adjustable-rate-mortgage-arm,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
18,Financing,Amortization Period,amortization-period,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
19,Financing,Appraisal for Mortgage,appraisal-for-mortgage,Appraisal Institute of Canada (AIC) — https://www.aicanada.ca | BC Assessment — https://www.bcassessment.ca,,
20,Financing,Appraised Value,appraised-value,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
21,Financing,Appreciation,appreciation,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
22,Financing,Assumable Mortgage,assumable-mortgage,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
23,Financing,Balloon Mortgage,balloon-mortgage,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
24,Financing,Biweekly Mortgage Payment,biweekly-mortgage-payment,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
25,Financing,Blended Payment,blended-payment,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
26,Financing,Blended Rate Mortgage,blended-rate-mortgage,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
27,Financing,Break Penalty,break-penalty,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
28,Financing,Bridge Financing,bridge-financing,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
29,Financing,Buydown Rate,buydown-rate,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
30,Financing,Cash Back Mortgage,cash-back-mortgage,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
31,Financing,Closed Mortgage,closed-mortgage,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
32,Financing,Co-Borrower,co-borrower,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
33,Financing,Co-Signer,co-signer,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
34,Financing,Collateral Mortgage,collateral-mortgage,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
35,Financing,Comparative Market Analysis (CMA),comparative-market-analysis-cma,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
36,Financing,Completion Day vs Possession Day,completion-day-vs-possession-day,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
37,Financing,Convertible Mortgage,convertible-mortgage,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
38,Financing,Conveyancing,conveyancing,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
39,Financing,Counter Offer,counter-offer,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
40,Financing,Court Ordered Sale,court-ordered-sale,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
41,Financing,Days on Market (DOM),days-on-market-dom,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
42,Financing,Deposit,deposit,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
43,Financing,Designated Agency,designated-agency,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
44,Financing,Discharge Fee,discharge-fee,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
45,Financing,Disclosure of Remuneration,disclosure-of-remuneration,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
46,Financing,Disclosure Statement (REDMA),disclosure-statement-redma,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
47,Financing,Down Payment Gift Letter,down-payment-gift-letter,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
48,Financing,Down Payment Requirements,down-payment-requirements,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
49,Financing,Dual Agency,dual-agency,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
50,Financing,Encumbrance,encumbrance,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
51,Financing,Equity,equity,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
52,Financing,Equity Takeout,equity-takeout,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
